date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2024%20Apr%202024%2022:47:35%20GMT	http://now.gg/apps/roblox-corporation/5349/roblox.html	C:/My%20Web%20Sites/nowgg%20roblox/now.gg/apps/roblox-corporation/5349/roblox.0.delayed	(from )
18:47:41	351986/351986	---MCZ	200	added ('OK')	text/html	etag:W/%2255ef2-IxBneUWuQRk14CPex2gx5DbwKwg%22	https://now.gg/apps/roblox-corporation/5349/roblox.html	C:/My%20Web%20Sites/nowgg%20roblox/now.gg/apps/roblox-corporation/5349/roblox.html	(from )
18:47:41	74/74	---MCZ	200	added ('OK')	text/plain	date:Wed,%2024%20Apr%202024%2013:33:18%20GMT	https://now.gg/robots.txt		(from )
18:47:43	95906/95906	---M--	200	added ('OK')	text/javascript	etag:790%20/%2019837%20/%20m202404180101%20/%20config-hash:%209301319534479615066	https://www.googletagservices.com/tag/js/gpt.js	C:/My%20Web%20Sites/nowgg%20roblox/www.googletagservices.com/tag/js/f.txt	(from https://now.gg/apps/roblox-corporation/5349/roblox.html)
18:47:44	312061/312061	---MC-	200	added ('OK')	application/javascript	date:Wed,%2024%20Apr%202024%2022:11:37%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-PRM8BWR	C:/My%20Web%20Sites/nowgg%20roblox/www.googletagmanager.com/gtmb819.js	(from https://now.gg/apps/roblox-corporation/5349/roblox.html)
18:47:44	46869/46869	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22b715-I/8ZXb4jqKLtegazb++ORIpwZFc%22	https://now.gg/choice.js?tag_version=V3	C:/My%20Web%20Sites/nowgg%20roblox/now.gg/choice1ed7.js	(from https://now.gg/apps/roblox-corporation/5349/roblox.html)
18:47:45	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2024%20Apr%202024%2022:47:41%20GMT	https://now.gg/apps/roblox-corporation/5349/window.location.href	C:/My%20Web%20Sites/nowgg%20roblox/now.gg/apps/roblox-corporation/5349/window.location.href	(from https://now.gg/apps/roblox-corporation/5349/roblox.html)
18:47:45	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2024%20Apr%202024%2022:47:41%20GMT	https://now.gg/apps/roblox-corporation/5349/window.location.href	C:/My%20Web%20Sites/nowgg%20roblox/now.gg/apps/roblox-corporation/5349/window.location.href	(from https://now.gg/apps/roblox-corporation/5349/roblox.html)
18:47:45	23642/23642	---MCZ	200	added ('OK')	text/css	etag:W/%225c5a-18f0ff9b088%22	https://now.gg/4/play/assets/_next/static/css/3d0ae4c613f4697f.css	C:/My%20Web%20Sites/nowgg%20roblox/now.gg/4/play/assets/_next/static/css/3d0ae4c613f4697f.css	(from https://now.gg/apps/roblox-corporation/5349/roblox.html)
18:47:46	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221652a-18f0ff9b088%22	https://now.gg/4/play/assets/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	C:/My%20Web%20Sites/nowgg%20roblox/now.gg/4/play/assets/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://now.gg/apps/roblox-corporation/5349/roblox.html)
